listing_id,description,room_type
2595,Skylit Midtown Castle,Entire home/apt
3831,Cozy Entire Floor of Brownstone,Entire home/apt
5099,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt
5178,Large Furnished Room Near B'way,private room
5238,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt
5295,Beautiful 1br on Upper West Side,Entire home/apt
5441,Central Manhattan/near Broadway,Private room
5803,"Lovely Room 1, Garden, Best Area, Legal rental",Private room
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room
6848,Only 2 stops to Manhattan studio,entire home/apt
7097,Perfect for Your Parents + Garden,Entire home/apt
7322,Chelsea Perfect,Private room
7726,Hip Historic Brownstone Apartment with Backyard,Entire home/apt
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,PRIVATE ROOM
8025,CBG Helps Haiti Room#2.5,PRIVATE ROOM
8110,CBG Helps Haiti Rm #2,Private room
8490,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt
8505,Sunny Bedroom Across Prospect Park,Private room
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",PRIVATE ROOM
9657,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt
9668,front room/double bed,PRIVATE ROOM
9704,Spacious 1 bedroom in luxe building,Private room
9782,Loft in Williamsburg Area w/ Roof,Private room
9783,back room/bunk beds,Private room
10452,Large B&B Style rooms,Private room
10962,"Lovely room 2 & garden; Best area, Legal rental",Private room
11708,Cute apt in artist's home,Entire home/apt
12048,LowerEastSide apt share shortterm 1,shared room
12192,ENJOY Downtown NYC!,PRIVATE ROOM
12299,Beautiful Sunny Park Slope Brooklyn,Entire home/apt
12318,West Side Retreat,Private room
12343,BEST BET IN HARLEM,Entire home/apt
12627,Entire apartment in central Brooklyn neighborhood.,Entire home/apt
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room
12940,Charming Brownstone 3 - Near PRATT,Entire home/apt
13394,Fort Greene brownstone,Private room
13808,Blue Room for 2 in Brownstone for $1350 monthly,Private room
14287,Cozy 1BD on Central Park West in New York City,Entire home/apt
14290,* ORIGINAL BROOKLYN LOFT *,entire home/apt
14314,Greenpoint Place...Has It All!,ENTIRE HOME/APT
14322,Beautiful Apartment in Manhattan!!!,Entire home/apt
14377,Williamsburg 1 bedroom Apartment,Entire home/apt
14991,"Great Location, Manhattan Bedroom!",PRIVATE ROOM
15220,Best Location in NYC! TIMES SQUARE!,private room
15338,Room in Greenpoint Loft w/ Roof,Private room
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire home/apt
15385,"Very, very cozy place",Private room
15711,2 bedroom - Upper East Side-great for kids,ENTIRE HOME/APT
16326,Comfortable 4-bedroom apt in family house.,Entire home/apt
16421,Your Heaven in Hells Kitchen,Private room
16580,"Sunny, Modern room in East Village!",Private room
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire home/apt
16821,Large Room in Amazing East Village Apt,Private room
16974,SpaHa Loft: Enormous and Bright,Entire home/apt
17092,Cool Room in Hell's Kitchen,Private room
17693,"HARLEM, NEW YORK WELCOMES YOU!!",Private room
17747,BLUE TRIM GUEST HOUSE,Private room
18127,Charming East Village One Bedroom Flat,Entire home/apt
18152,Manhattan Room,Private room
18198,Little King of Queens,Private room
18590,Fort Greene Retreat on the Park,Private room
18728,Beautiful Meatpacking District Loft,Private room
18764,Cozy 2 BR in Williamsburg,private room
19159,Spacious luminous apt Upper West NYC,Entire home/apt
19169,Entire 2 Bedroom - Large & Sunny,Entire home/apt
19282,"Sunny, Spacious Top Floor Haven",Entire home/apt
19319,Private room Great Deal at Lower East Side,Private room
20299,Oh glorious spring!,Private room
20611,Cozy Bedroom in Williamsburg 3 BR,Private room
20724,Sunny room+Pvte office in huge loft,Private room
20734,Spacious Prospect Heights Apartment,Entire home/apt
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",private room
20853,2-bed brownstone duplex + garden,Entire home/apt
21293,Sunny Apartment in Artist Home,ENTIRE HOME/APT
21456,Light-filled classic Central Park,ENTIRE HOME/APT
21794,COZY QUIET room 4 DOOGLERS!,private room
22918,loft bed - near transportation-15min to times sq,Private room
23135,House On Henry (3rd FLR Suite),Entire home/apt
23686,2000 SF 3br 2bath West Village private  townhouse,Entire home/apt
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",private room
25235,Large 2 Bedroom Great for Groups!,Entire home/apt
25696,"1,800 sq foot in luxury building",Private room
26362,"Times Square, Safe, Clean and Cozy!",Private room
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",Private room
26969,2 story family home in Williamsburg,Entire home/apt
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,Entire home/apt
27385,Great Large 1 BR apt  in East Village!,Entire home/apt
27531,Eveland Private Bed & Living Room w/ Own Entrance,private room
27644,Sugar Hill Rest Stop,Entire home/apt
27759,apartment next to Central park,entire home/apt
29013,B & B Room 1,Private room
29455,ACCOMMODATIONS GALORE #1,entire home/apt
29628,Sunny Room in New Condo,Private room
29683,Stylish & Sleek Apartment Near SoHo!,entire home/apt
30031,NYC artists’ loft with roof deck,private room
30927,Unique & Charming small 1br Apt. LES,Entire home/apt
31130,Most Central Location!,Private room
31555,Luminous Beautiful West Village Studio,Entire home/apt
31902,Sanctuary in East Flatbush,Private room
31994,Room with En Suite Bathroom & Deck,Private room
32023,FLAT MACDONOUGH,Entire home/apt
32037,Huge Private  Floor at The Waverly,Private room
